indiv	AGE	SEX	PC1
2703638	47	1	78.8514
5011493	60	0	-1.92476
2194387	62	1	-12.3287
3299832	48	1	-14.7505
1575319	50	1	409.06
5668939	40	0	-13.1224
2272522	48	0	6.99069
2536251	41	0	370.886
5605459	56	0	-12.8725
3978711	56	0	-12.6797
3374909	66	1	24.5449
4360393	44	0	-1.31037
3637952	58	1	-10.1552
4852648	43	1	405.252
5366987	59	1	399.283
2403880	65	0	3.45357
3381937	46	0	85.3485
5498753	61	1	20.9004
5328099	53	0	206.808
4169922	54	0	-12.3149
2841117	60	1	118.642
1227275	69	1	71.609
5468457	66	1	14.0344
1409290	63	0	-7.74632
3858470	43	0	296.685
1482645	43	0	320.907
4134605	62	0	10.7649
2101229	48	1	-10.001
2544512	61	0	15.6409
1024660	49	1	59.157
3463986	45	0	61.8678
3407923	52	0	68.0579
5562773	58	0	78.4965
5131796	63	0	323.095
3384662	47	1	408.494
4632140	61	1	81.7595
2458589	50	0	142.973
2438529	42	1	336.451
5505723	42	0	348.235
2796722	63	0	-11.9517
2675594	58	1	-10.3259
5482682	46	1	-1.30384
4767089	51	0	83.2727
2130789	69	0	-14.5199
1075398	42	0	197.606
2343823	55	0	-12.4097
4617874	47	1	83.9549
1130453	49	1	-10.8604
2450515	48	0	38.9469
1495394	61	0	71.5902
1870408	48	0	-9.14273
5464920	59	0	94.6667
2968400	52	0	25.5591
2051586	42	1	15.8811
2268559	55	1	85.9348
1960341	52	0	81.453
4183985	60	1	-10.8533
3549640	47	1	25.1512
2976690	40	1	89.7667
2299508	47	0	377.371
1027068	42	0	8.37303
3706685	60	0	5.63861
4438281	62	0	-12.0673
1673631	51	0	56.702
3821427	63	1	97.5471
3764411	50	1	389.182
1774527	47	0	70.4348
3858891	54	1	411.153
2074347	69	0	-2.60864
5152731	68	0	-11.3487
5504942	45	0	55.5411
1860208	60	1	211.231
1781307	51	0	407.198
5213559	43	1	219.219
4758862	64	1	-10.1192
5986952	56	0	361.487
1913357	59	1	95.2131
4726701	61	0	86.745
1452702	67	1	66.1908
4441184	60	1	55.344
3243741	67	1	91.8549
4971284	59	0	1.04418
3963611	59	0	21.4079
4910003	64	1	-12.9921
3463520	62	1	-13.6801
4237916	44	1	-13.1699
4889596	55	0	-13.4633
3371044	48	1	-10.8573
3020688	58	1	299.857
1984973	40	0	103.069
1404837	45	1	-12.2558
4554159	70	0	-1.75914
2642896	69	1	-12.4699
3436577	46	0	57.7705
1298273	46	1	4.20592
5404943	42	1	45.3377
2559410	41	1	-11.915
4357827	66	0	21.7304
3468952	48	1	-3.67342
4162787	44	0	88.0161
3749693	49	1	85.5134
5452414	49	0	16.4753
2732761	49	1	81.7082
